연간 예산	annual budget
범죄	crime
부족	lacking, shortage ; tribe
서투르다	unskilled, clumsy, poor (at)
부정하다	be corrupted, dishonest
동료	colleague , co-worker
밀리다	be left undone, be overdue
퍼지다	spread (out), flare
이끌다	lead, guide, shepherd
덧붙이다	add
처리	handling, processing
갑작스럽다	sudden, abrupt
엉터리	nonsense, rubbish
한층	more and more
원고	draft
주문하다	order, place an order
제작	production, manufacturing
도저히	possibly, for anything, for the life of one
자동	automatic
서쪽	west
듣다	hear, listen
마약	drug, narcotics
확실하다	sure, certain, confident
증권	stock, shares, bond
뻗다	reach, stretch (out)
중독	poisoning, be poisoned
마땅하다	suitable, right, proper (4)
질리다	be frightened, be terrified
알맞다	appropriate, suitable, right (3)
띄우다	fly, launch ; send
주저앉다	drop, sink, flop
고르다	choose, select, pick
설득하다	persuade, convince, coax
펴다	unfold, open, spread
즐겁다	pleasant, pleased (with/about)
소원	wish, hope
반발	opposition, backlash, resistance
그저께	day before yesterday
흘리다	shed [a tear, sweat], spill [water]
어지럽다	dizzy, giddy, light-headed
안타깝다	regrettable, sad, pitiful
내밀다	stick out, extend
얇다	thin, flimsy
첫날	first day, opening day
붙들다	hold on (to), cling (on/to)
누르다	press, push
듯하다	look like, seem, appear
땅	land, ground, soil
권리	right(s) (to), claim (to/on)
탓	reason ; fault, blame
맡기다	entrust, assign, leave ; deposit
부자	rich person, wealthy person
대하다	face, confront
외다	learn by heart
내주다	give ; offer, grant
거절하다	refuse, reject, decline
한끼	a meal, one meal
사자	lion
햇볕	sunlight, sunbeam
상쾌하다	fresh, refreshing
하늘	the sky
줍다	pick up, find, gather
당하다	suffer, cope with ; undergo
때리다	hit, strike, slap
착실하다	reliable, trustworthy
띄다	space (out), leave a space (between)
튀어나오다	stick out, bulge, protrude
되돌리다	restore ; return, give  back
불안	anxiety, uneasiness, apprehension
장치	equipment, device
검진	examination, checkup
빼앗다	steal, rob, extort
채우다	fill, pack, stuff
훔치다	steal
수	number
맞추다	adjust, tune (sth to sth), set
고기	meat
고치다	repair, fix, mend
수상하다	strange, shady, fishy
점심	lunch
자세히	in detail, minutely
돕다	help, assist, aid
운명	fate, destiny
양	quantity ; -miss
병원	hospital
과연	indeed, sure enough
가게	shop, store
도서관	library
날아다니다	flutter about, fly around
벌집	bee hive
크기	size, bulk
안팎	inside and outside, interior and exterior
줄이다	reduce, decrease
마음대로	as one pleases
취하다	be drunk, get intoxicated
돌려주다	return, give back
기침	cough
하룻밤	one night, a single night, overnight
말고	instead of...; except; but.
내내	throughout, all the time[way]
나란히	side by side
한적하다	quiet, tranquil, secluded
깨우다	wake (up), awaken
제지	restrain, keep (sb) from (doing)
휘파람	whistle
울리다	make sb cry, reduce[move] sb to tears
속삭이다	whisper
눈을 뜨다	open one's eyes
눈꺼풀	eyelid
편안히	comfortably, easily, calmly
힘껏	to the full[utmost] extent of one's power
꾸다	dream, have a dream
살아가다	make[earn] a living
평평하다	flat, level, smooth
종말	end
그리	so, very
목욕탕	bathroom, bath house
빠뜨리다	drop
문초	interrogating a criminal
착하다	good, nice, good-natured
마르다	dry (up), become dry
쫓기다	be pursued, trailed, chased
전쟁	war, warfare, battle
무렵	around[near; towards] (that time)
찾아내다	find, discover, locate
수도	capital city/ water supply (service)
차츰	gradually, slowly, by degrees
비열하다	nasty, dirty, underhand(ed)
봉투	bag, sack, envelope
애정	love, affection (for)
놀리다	tease, provoke, pull one's leg
연극	drama, play, theatre
까다롭다	picky, particular, fussy
밑	the bottom, the lower part
가장자리	edge, border, rim
채택	adopt, choose
재판	trial
입장	position, situation, stance
벗다	take off, undress, strip
색조	shade, tone
환하다	gleam, shine, glare
근대	modern (era)
따라서	so, therefor, thus
무너지다	collapse, crumble (away)
자살	suicide
소다수	soda water
독	poison, venom
자연사	natural death
밑에	under
정력	energy, stamina, vitality
신화	myth, mythology
두려움	fear, dread, terror
무릎 꿇다	go down on one's knee
보라색	violet, purple
목구멍	throat
건배	toast, drink to, drink a toast
찬성	agreement, consent
연락	contact
끝내다	end, finish, close, complete
냉정하다	cold, cold-hearted
간호사	nurse
혐오할	disgusting
예외	exception
승진	promotion, advancement
비비다	rub ; mix
그만두다	stop, cease, leave, resign
떨어뜨리다	drop something
떠오르다	rise, come up, float
축이다	wet, moisten
인정하다	acknowledge, admit, recognize
감싸다	cover, wrap
굶다	starve, go hungry, skip a meal
모조리	all, altogether, completely
길을 잃다	get lost
오명	dishonor
흔히	frequently, commonly
부하	subordinate, underling
아무런	in any way, any sort
두드리다	knock, beat, tap
흐리다	cloud ; blur
연상	be reminiscent of, remind
적의	hostility, animosity
범인	criminal, culprit, suspect
의무	obligation, duty, responsibility
양심	conscience
제기	raise, bring up (question/objection/etc)
공판	trial, hearing
승인	grant approval
유능하다	competent, capable
연상의	older, senior, elder
겨우	barely, narrowly
근거	grounds, basis, be based[founded] on
바탕	foundation (of), basis (of/for)
이처럼	like this, this way
사이	space between points; the relationship between people
헤엄치다	swim, have a swim
깜짝	startling
맨날	always, every day (less formal)
내놓다	put out, take out
모퉁이	corner
말없이	silently
구름	cloud
신호	signal, sign, cue
지하실	basement, cellar
갈아입다	change (one's clothes)
비웃다	laugh (at), mock, ridicule
불리하다	unfavorable, disadvantageous
이롭다	beneficial, advantageous
돌아보다	look back (at)
멋지다	wonderful, nice, splendid
풍경	landscape, scenery
그늘	shade
높다	high, tall
도구	tool, instrument, kit
엄청나다	huge, great, enormous
대체로	generally, mostly, overall
폭로	exposure, disclose
정당	(be) just, reasonable, proper
조금도	(not) a bit, (not) at all
내보내다	let sb[sth] out, put sb[sth] out
과실	mistake, error, blunder
충실하다	faithful, devoted, true (to)
조심하다	be careful, beware
올리다	raise, lift, put up
시키다	make (sb do), compel (sb do), force (sb do)
꾸미다	decorate (sth with sth)
깨어나다	wake (up), awaken
열쇠	key ; clue, key
상식	common sense
이기다	win, beat, defeat
스치다	grace, brush
그러므로	so, therefore, thus, accordingly
찌르다	stab, pierce, prick
즉	in other words, that is (to say)
셈	calculation, figures, sum
복잡하다	complicated, complex
쓰이다	be used, serve as
빨다	suck (at)
의학	medicine
두뇌	brain ; mind
논리적	logical
의논	discussion, consultation
살피다	glance, look
존재	existence
유도	induce (sb to do sth), lead
차리다	set, prepare, fix
동무	companion, buddy
참다	supress, stifle, resist
치우다	tidy (up), clean (up)
유죄	guilt
엄격하다	strict, severe, stern
게으르다	lazy, idle
다름없이	likewise, equally, similarly
잇다	to connect, join
두려워하다	be afraid, be scared
중얼거리다	mumble, mutter (under one's breath)
후회하다	regret
절벽	cliff
동산	hill, knoll
액체	liquid, fluid
참되다	true, genuine, real
말소리	voice, tone (of voice)
천장	ceiling
영원	eternity
체육	physical education
뽑다	to pluck, pull out
마늘	garlic
직원	employee, staff member
토끼	rabbit
쓸데없다	unnecessary, needless
삼키다	swallow
걸음	step, pace
졸다	doze off, nod off
절반	half
솟다	soar, rise
성나다	get angry (with/at), be furious
숙이다	bow (one's head)
아끼다	save (on), economize (on), be thrifty
감정	feeling, emotion
목숨	life
고백하다	to confess
진실	honest, truth, fact
저지르다	commit, make (a mistake)
지붕	roof
뜨겁다	hot, burning
고양이	cat
허리	waist
마음놓다	set one's mind at ease, relax
저마다	each, respectively
부류	kind, category, class
턱	chin, jaw
자르다	cut, chop, sever
밝혀지다	come out in the open ; bring to light
숨지다	die, pass away
접시	dish, plate, saucer
달걀	egg
동기	motive
경찰	officer, cop, policeman
네	yes ; yours
신문	newspaper
갖가지	various kinds (of)
치다	hit, strike, smack
슬프다	sad, mournful
어제	yesterday
기르다	raise, rear, bring up
공중	the air, midair
다투다	quarrel, argue, fight
전철	subway
달려들다	attack, spring out at, pounce on
답장	reply, answer
정직하다	to be honest, truthful, frank
위협	threat (of), menace (to), intimidation
구조	structure, organization
매달리다	dangle, be suspended, hang
귀찮다	troublesome, tiresome
이틀	two days, a couple of days
신기하다	amazing, wonderful
남녀	both men and women
장면	scene
성공하다	to succeed
닥치다	come near, approach
늘어지다	droop, sag
형편	circumstance, conditions
